Table with column headers in row 3						
"2014 Poverty Estimates for School districts                                                                                                                                                       Source: U.S. Census Bureau, Small Area Income and Poverty Program (SAIPE)                                                                                                              Release date:   December 2015"						
State Postal Code	State FIPS Code	District ID	Name	Estimated Total Population	Estimated Population 5-17	Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AL	01	02520	Muscle Shoals City School District	"13,119"	"2,301"	372
AL	01	02550	Oneonta City School District	"6,608"	"1,027"	225
AL	01	02580	Opelika City School District	"29,054"	"4,971"	"1,870"
AL	01	02610	Opp City School District	"6,684"	"1,125"	448
AL	01	02635	Oxford City School District	"22,845"	"4,151"	946
AL	01	02640	Ozark City School District	"16,896"	"2,915"	958
AL	01	02650	Pell City City School District	"28,741"	"4,866"	894
AL	01	02670	Perry County School District	"9,826"	"1,662"	957
AL	01	02700	Phenix City City School District	"36,895"	"6,745"	"2,038"
AL	01	02730	Pickens County School District	"20,365"	"3,120"	"1,013"
AL	01	02760	Piedmont City School District	"6,538"	"1,105"	339
AL	01	02790	Pike County School District	"14,938"	"2,327"	804
AL	01	02820	Randolph County School District	"16,564"	"2,609"	735
AL	01	02850	Roanoke City School District	"5,975"	"1,077"	305
AL	01	02880	Russell County School District	"27,281"	"4,643"	"1,201"
AL	01	02910	Russellville City School District	"9,802"	"1,775"	808
AL	01	00185	Saraland City School District	"13,488"	"2,199"	409
AL	01	00189	Satsuma City School District	"6,198"	"1,063"	164
AL	01	02940	Scottsboro City School District	"14,613"	"2,271"	577
AL	01	02970	Selma City School District	"19,757"	"3,718"	"1,798"
AL	01	03000	Sheffield City School District	"9,058"	"1,381"	450
AL	01	03030	Shelby County School District	"148,461"	"27,030"	"2,851"
AL	01	03062	St. Clair County School District	"55,529"	"9,363"	"1,582"
AL	01	03090	Sumter County School District	"13,166"	"1,974"	885
AL	01	03120	Sylacauga City School District	"12,713"	"2,215"	794
AL	01	03150	Talladega City School District	"15,893"	"2,570"	878
AL	01	03180	Talladega County School District	"48,638"	"7,998"	"2,153"
AL	01	03210	Tallapoosa County School District	"22,199"	"3,343"	894
AL	01	03240	Tallassee City School District	"8,986"	"1,566"	331
AL	01	03270	Tarrant City School District	"6,418"	"1,304"	676
AL	01	03300	Thomasville City School District	"5,688"	979	243
AL	01	03330	Troy City School District	"18,451"	"2,261"	730
AL	01	00013	Trussville City School District	"19,605"	"3,795"	367
AL	01	03360	Tuscaloosa City School District	"93,036"	"11,250"	"3,382"
AL	01	03390	Tuscaloosa County School District	"109,176"	"19,189"	"3,461"
AL	01	03420	Tuscumbia City School District	"8,594"	"1,319"	339
AL	01	03430	Vestavia Hills City School District	"34,182"	"6,360"	394
AL	01	03450	Walker County School District	"51,418"	"8,493"	"2,274"
AL	01	03480	Washington County School District	"16,834"	"2,965"	708
AL	01	03510	Wilcox County School District	"11,098"	"2,124"	924
AL	01	03540	Winfield City School District	"6,581"	"1,053"	205
AL	01	03580	Winston County School District	"16,122"	"2,547"	696
AK	02	00050	Alaska Gateway School District	"2,311"	404	78
AK	02	00010	Aleutian Region School District	625	29	11
AK	02	00007	Aleutians East Borough School District	"3,360"	247	33
AK	02	00180	Anchorage School District	"301,010"	"52,801"	"6,543"
AK	02	00525	Annette Island School District	"1,513"	287	66
AK	02	00020	Bering Strait School District	"6,096"	"1,613"	580
AK	02	00030	Bristol Bay Borough School District	957	142	15
AK	02	00730	Chatham School District	"1,262"	175	44
AK	02	00800	Chugach School District	461	62	26
AK	02	00070	Copper River School District	"2,783"	499	77
AK	02	00060	Cordova City School District	"2,205"	375	14
AK	02	00090	Craig City School District	"1,245"	237	64
AK	02	00100	Delta/Greely School District	"4,743"	851	169
AK	02	00770	Denali Borough School District	"1,921"	272	21
AK	02	00120	Dillingham City School District	"2,397"	441	69
AK	02	00600	Fairbanks North Star Borough School District	"99,357"	"16,314"	"1,524"
AK	02	00130	Galena City School District	467	104	19
AK	02	00270	Haines Borough School District	"2,566"	394	50
AK	02	00300	Hoonah City School District	735	108	35
AK	02	00330	Hydaburg City School District	389	70	14
AK	02	00520	Iditarod Area School District	"1,096"	226	46
AK	02	00210	Juneau Borough School District	"32,406"	"5,245"	407
AK	02	00360	Kake City School District	577	97	28
AK	02	00005	Kashunamiut School District	"1,007"	293	130
